584-79-2	CC(C)=CC1C(C(=O)OC2CC(=O)C(=C2C)CC=C)C1(C)C
539-86-6	C=CCS[S](=O)CC=C
315-30-0	O=C1N=CN=C2NNC=C12
50-71-5	O=C1NC(=O)C(=O)C(=O)N1
25956-17-6	[Na+].[Na+].COc1cc(c(C)cc1N\N=C2\C(=O)C=Cc3cc(ccc23)[S]([O-])(=O)=O)[S]([O-])(=O)=O
107-18-6	OCC=C
57-06-7	C=CCN=C=S
592-88-1	C=CCSCC=C
319-84-6	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
463-40-1	CC/C=C/C/C=C/C/C=C/CCCCCCCC(O)=O
98-83-9	CC(=C)c1ccccc1
62218-13-7	Oc1ccc(cc1)[C@@H]2Oc3cc(O)cc4[C@@H]5[C@H](Oc6cc(O)cc([C@H]7[C@@H](Oc8cc(O)cc([C@@H]2c34)c78)c9ccc(O)cc9)c56)c%10ccc(O)cc%10
641-38-3	Cc1cc(O)cc2OC(=O)c3c(O)cc(O)cc3c12
23058-19-7	23058-19-7Did not work
102121-60-8	CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc3ccc(cc3)C(O)=O
1617-53-4	Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)c(c3O2)c4cc(ccc4O)C5=CC(=O)c6c(O)cc(O)cc6O5
20537-88-6	NCCCNCCS[P](O)(O)=O
2609-46-3	[H+].O.O.[Cl-].NC(N)=NC(=O)c1nc(Cl)c(N)nc1N
106-60-5	NCC(=O)CCC(O)=O
1951-25-3	CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3
33089-61-1	CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C
50-48-6	CN(C)CCC=C1c2ccccc2CCc3ccccc13
61-82-5	Nc1[nH]ncn1
88150-42-9	CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C
7664-41-7	N
12125-02-9	[NH4+].[Cl-]
